ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-BLG-RRLYR-00993	0.711	0.050	0.773	0.019	1.718	0.042	6374	99	0.017	0.087	0.553	0.099	0.545	0.028	-0.834	0.077	
OGLE-BLG-RRLYR-00994	0.604	0.051	0.692	0.019	1.619	0.042	6620	100	0.270	0.087	0.771	0.099	0.496	0.028	-0.500	0.077	
OGLE-BLG-RRLYR-01002	0.650	0.053	0.713	0.020	1.631	0.042	6490	100	0.247	0.088	0.768	0.099	0.522	0.028	-0.565	0.079	
OGLE-BLG-RRLYR-01004	0.579	0.050	0.694	0.019	1.630	0.042	6650	100	0.229	0.087	0.725	0.098	0.488	0.028	-0.526	0.077	
OGLE-BLG-RRLYR-01007	0.565	0.050	0.686	0.019	1.671	0.042	6850	100	0.170	0.087	0.619	0.098	0.441	0.028	-0.517	0.077	
OGLE-BLG-RRLYR-01009	0.580	0.050	0.717	0.019	1.681	0.042	6670	100	0.100	0.087	0.593	0.099	0.485	0.028	-0.650	0.078	
OGLE-BLG-RRLYR-01012	0.550	0.050	0.661	0.019	1.548	0.042	6580	100	0.416	0.087	0.920	0.099	0.504	0.028	-0.371	0.077	
OGLE-BLG-RRLYR-01015	0.654	0.052	0.721	0.020	1.640	0.042	6470	100	0.227	0.088	0.734	0.099	0.521	0.028	-0.585	0.079	
OGLE-BLG-RRLYR-01020	0.756	0.050	0.833	0.019	1.812	0.042	6270	100	-0.232	0.087	0.333	0.099	0.566	0.028	-1.112	0.078	
OGLE-BLG-RRLYR-01022	0.634	0.051	0.725	0.019	1.673	0.042	6560	100	0.127	0.087	0.627	0.099	0.506	0.028	-0.660	0.078	
OGLE-BLG-RRLYR-01036	0.627	0.051	0.712	0.019	1.664	0.042	6630	100	0.169	0.088	0.646	0.099	0.479	0.028	-0.578	0.079	
OGLE-BLG-RRLYR-01058	0.554	0.052	0.682	0.019	1.641	0.042	6785	99	0.220	0.088	0.69	0.10	0.461	0.028	-0.492	0.079	
OGLE-BLG-RRLYR-01069	0.572	0.051	0.691	0.019	1.614	0.042	6620	99	0.278	0.087	0.779	0.098	0.495	0.028	-0.487	0.077	
OGLE-BLG-RRLYR-01071	0.669	0.050	0.748	0.019	1.667	0.042	6371	99	0.121	0.087	0.66	0.10	0.548	0.028	-0.731	0.077	
OGLE-BLG-RRLYR-01072	0.610	0.051	0.716	0.019	1.656	0.042	6570	100	0.160	0.088	0.671	0.099	0.507	0.028	-0.625	0.078	
OGLE-BLG-RRLYR-01074	0.561	0.050	0.709	0.019	1.693	0.042	6766	99	0.092	0.087	0.562	0.098	0.467	0.028	-0.635	0.077	
OGLE-BLG-RRLYR-01078	0.578	0.049	0.730	0.019	1.735	0.042	6769	99	-0.005	0.087	0.462	0.098	0.463	0.028	-0.722	0.077	
