ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-RRLYR-00540	0.630	0.056	0.727	0.021	1.669	0.044	6540	110	0.131	0.091	0.64	0.10	0.513	0.030	-0.664	0.086	
OGLE-LMC-RRLYR-00543	0.555	0.060	0.727	0.022	1.674	0.044	6550	110	0.093	0.091	0.60	0.10	0.506	0.030	-0.688	0.086	
OGLE-LMC-RRLYR-00545	0.644	0.052	0.755	0.020	1.683	0.047	6420	110	0.069	0.096	0.59	0.11	0.531	0.030	-0.757	0.080	
OGLE-LMC-RRLYR-00575	0.658	0.060	0.747	0.023	1.681	0.045	6430	110	0.104	0.094	0.63	0.10	0.532	0.029	-0.721	0.088	
OGLE-LMC-RRLYR-00595	0.685	0.050	0.747	0.019	1.695	0.042	6480	100	0.088	0.087	0.596	0.099	0.522	0.028	-0.725	0.077	
OGLE-LMC-RRLYR-00597	0.674	0.051	0.741	0.019	1.706	0.042	6580	100	0.071	0.087	0.583	0.098	0.505	0.028	-0.713	0.077	
OGLE-LMC-RRLYR-00600	0.667	0.050	0.757	0.019	1.741	0.042	6580	100	-0.029	0.087	0.479	0.098	0.505	0.028	-0.815	0.078	
OGLE-LMC-RRLYR-00601	0.559	0.050	0.766	0.019	1.792	0.042	6710	100	-0.157	0.087	0.322	0.098	0.473	0.028	-0.882	0.077	
OGLE-LMC-RRLYR-00605	0.668	0.051	0.792	0.019	1.805	0.042	6560	100	-0.190	0.087	0.339	0.098	0.512	0.028	-0.979	0.078	
OGLE-LMC-RRLYR-00607	0.709	0.050	0.767	0.019	1.666	0.042	6250	100	0.120	0.087	0.685	0.099	0.574	0.028	-0.776	0.077	
OGLE-LMC-RRLYR-00609	0.694	0.051	0.755	0.019	1.728	0.042	6540	100	0.018	0.087	0.529	0.098	0.511	0.028	-0.779	0.078	
OGLE-LMC-RRLYR-00613	0.590	0.050	0.697	0.019	1.686	0.042	6820	100	0.135	0.087	0.597	0.098	0.447	0.028	-0.560	0.078	
OGLE-LMC-RRLYR-00617	0.681	0.051	0.743	0.019	1.688	0.042	6470	100	0.090	0.087	0.611	0.099	0.526	0.028	-0.730	0.078	
OGLE-LMC-RRLYR-00620	0.558	0.055	0.712	0.020	1.683	0.042	6680	100	0.097	0.089	0.594	0.099	0.479	0.029	-0.645	0.082	
OGLE-LMC-RRLYR-00625	0.664	0.060	0.729	0.022	1.642	0.045	6420	110	0.190	0.092	0.72	0.10	0.542	0.030	-0.653	0.086	
OGLE-LMC-RRLYR-00638	0.737	0.058	0.805	0.022	1.766	0.043	6310	110	-0.125	0.092	0.43	0.10	0.559	0.030	-0.992	0.088	
OGLE-LMC-RRLYR-00643	0.638	0.058	0.737	0.023	1.656	0.045	6400	110	0.155	0.093	0.68	0.10	0.538	0.031	-0.684	0.087	
OGLE-LMC-RRLYR-00645	0.554	0.051	0.700	0.019	1.691	0.042	6800	100	0.109	0.088	0.561	0.099	0.445	0.028	-0.591	0.078	
OGLE-LMC-RRLYR-00655	0.640	0.051	0.721	0.019	1.678	0.042	6620	100	0.124	0.087	0.633	0.098	0.497	0.028	-0.647	0.078	
OGLE-LMC-RRLYR-00668	0.671	0.051	0.731	0.019	1.676	0.042	6520	100	0.137	0.087	0.651	0.099	0.516	0.028	-0.668	0.077	
OGLE-LMC-RRLYR-00675	0.709	0.056	0.847	0.022	1.848	0.045	6300	110	-0.333	0.093	0.22	0.10	0.562	0.031	-1.202	0.088	
OGLE-LMC-RRLYR-00703	0.565	0.053	0.687	0.020	1.654	0.043	6790	110	0.190	0.089	0.65	0.10	0.456	0.030	-0.515	0.082	
OGLE-LMC-RRLYR-00709	0.754	0.056	0.788	0.021	1.720	0.044	6280	110	0.018	0.091	0.56	0.10	0.562	0.029	-0.862	0.084	
OGLE-LMC-RRLYR-00717	0.732	0.051	0.749	0.019	1.700	0.042	6470	100	0.075	0.087	0.605	0.099	0.530	0.028	-0.749	0.078	
OGLE-LMC-RRLYR-00729	0.707	0.061	0.761	0.022	1.711	0.044	6440	110	0.053	0.091	0.57	0.10	0.529	0.030	-0.768	0.086	
OGLE-LMC-RRLYR-00735	0.670	0.051	0.738	0.019	1.650	0.042	6380	100	0.183	0.088	0.72	0.10	0.547	0.028	-0.666	0.078	
OGLE-LMC-RRLYR-00740	0.641	0.052	0.726	0.020	1.699	0.042	6670	100	0.090	0.087	0.587	0.099	0.485	0.028	-0.659	0.079	
OGLE-LMC-RRLYR-00742	0.540	0.051	0.662	0.019	1.596	0.042	6740	100	0.311	0.088	0.77	0.10	0.455	0.029	-0.404	0.078	
OGLE-LMC-RRLYR-00746	0.688	0.051	0.732	0.019	1.654	0.042	6430	100	0.170	0.087	0.706	0.099	0.538	0.028	-0.665	0.078	
