ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-CEP-1797	5.08	0.41	1.602	0.014	3.187	0.047	5720	110	-3.84	0.11	-3.12	0.14	0.721	0.034	-4.960	0.079	
OGLE-LMC-CEP-1799	5.42	0.42	1.635	0.014	3.288	0.048	5840	110	-4.08	0.11	-3.39	0.14	0.688	0.034	-5.149	0.080	
OGLE-LMC-CEP-1831	5.48	0.41	1.675	0.014	3.401	0.048	5930	110	-4.34	0.11	-3.68	0.14	0.658	0.034	-5.364	0.077	
OGLE-LMC-CEP-1846	5.15	0.40	1.545	0.014	3.116	0.048	5880	110	-3.64	0.11	-2.97	0.14	0.675	0.034	-4.697	0.077	
OGLE-LMC-CEP-1851	5.21	0.42	1.572	0.015	3.193	0.049	5940	110	-3.82	0.11	-3.17	0.14	0.654	0.034	-4.847	0.082	
OGLE-LMC-CEP-1866	5.85	0.36	1.744	0.012	3.473	0.046	5720	110	-4.56	0.10	-3.84	0.14	0.721	0.035	-5.679	0.068	
OGLE-LMC-CEP-1870	5.79	0.43	1.697	0.015	3.399	0.048	5790	110	-4.37	0.11	-3.67	0.14	0.697	0.034	-5.452	0.082	
OGLE-LMC-CEP-1887	5.45	0.42	1.671	0.014	3.361	0.048	5840	110	-4.26	0.11	-3.58	0.14	0.684	0.034	-5.329	0.079	
OGLE-LMC-CEP-1892	5.32	0.41	1.644	0.014	3.278	0.047	5740	110	-4.06	0.11	-3.35	0.14	0.715	0.034	-5.175	0.078	
OGLE-LMC-CEP-1899	5.36	0.40	1.579	0.014	3.200	0.048	5920	110	-3.84	0.11	-3.18	0.14	0.662	0.034	-4.880	0.078	
OGLE-LMC-CEP-1903	5.73	0.38	1.723	0.013	3.422	0.048	5690	110	-4.44	0.11	-3.72	0.14	0.724	0.034	-5.567	0.075	
OGLE-LMC-CEP-1904	5.17	0.41	1.583	0.015	3.237	0.049	6010	110	-3.92	0.11	-3.28	0.14	0.635	0.034	-4.913	0.081	
OGLE-LMC-CEP-1909	5.11	0.41	1.557	0.014	3.151	0.048	5900	110	-3.73	0.11	-3.07	0.14	0.665	0.034	-4.767	0.079	
OGLE-LMC-CEP-1910	5.51	0.37	1.805	0.012	3.666	0.053	5910	130	-5.04	0.12	-4.39	0.16	0.653	0.040	-6.060	0.075	
OGLE-LMC-CEP-1922	6.00	0.40	1.701	0.014	3.463	0.048	5960	110	-4.49	0.11	-3.84	0.14	0.645	0.034	-5.494	0.078	
OGLE-LMC-CEP-1926	5.74	0.48	1.695	0.017	3.416	0.051	5860	110	-4.39	0.12	-3.71	0.15	0.678	0.035	-5.449	0.091	
OGLE-LMC-CEP-1927	5.43	0.45	1.648	0.016	3.315	0.050	5830	110	-4.14	0.12	-3.46	0.15	0.687	0.034	-5.213	0.086	
OGLE-LMC-CEP-1933	5.79	0.38	1.800	0.012	3.599	0.048	5750	120	-4.88	0.11	-4.17	0.14	0.709	0.038	-5.986	0.067	
OGLE-LMC-CEP-1939	5.70	0.52	1.695	0.018	3.403	0.051	5820	110	-4.37	0.12	-3.68	0.15	0.689	0.035	-5.443	0.094	
OGLE-LMC-CEP-1942	5.98	0.36	1.750	0.012	3.469	0.045	5670	110	-4.55	0.10	-3.82	0.13	0.736	0.034	-5.699	0.067	
OGLE-LMC-CEP-1945	5.39	0.35	1.749	0.011	3.467	0.047	5670	120	-4.56	0.11	-3.83	0.14	0.731	0.036	-5.697	0.066	
OGLE-LMC-CEP-1954	5.43	0.38	1.876	0.012	3.599	0.057	5280	140	-4.92	0.13	-4.04	0.17	0.877	0.044	-6.283	0.076	
OGLE-LMC-CEP-1956	5.47	0.38	1.786	0.012	3.540	0.045	5660	110	-4.76	0.10	-4.02	0.13	0.732	0.034	-5.888	0.067	
OGLE-LMC-CEP-1957	6.63	0.35	1.767	0.011	3.509	0.046	5700	110	-4.66	0.10	-3.94	0.14	0.721	0.034	-5.775	0.067	
OGLE-LMC-CEP-1983	5.03	0.36	1.723	0.013	3.399	0.048	5610	110	-4.40	0.11	-3.65	0.14	0.748	0.035	-5.558	0.071	
