ID	M	e_M	logR	e_logR	logL	e_logL	Teff	e_Teff	I_M0	e_I_M0	V_M0	e_V_M0	VI	e_VI	W	e_W
OGLE-LMC-CEP-0033	5.98	0.39	1.756	0.014	3.513	0.057	5780	140	-4.66	0.13	-3.96	0.17	0.700	0.044	-5.748	0.083	
OGLE-LMC-CEP-0050	6.16	0.40	1.780	0.014	3.541	0.059	5710	140	-4.74	0.13	-4.02	0.18	0.720	0.046	-5.862	0.082	
OGLE-LMC-CEP-0057	6.87	0.40	1.861	0.012	3.693	0.045	5680	110	-5.14	0.10	-4.42	0.13	0.721	0.035	-6.260	0.066	
OGLE-LMC-CEP-0078	5.69	0.37	1.749	0.012	3.493	0.045	5760	110	-4.60	0.10	-3.90	0.13	0.708	0.034	-5.707	0.068	
OGLE-LMC-CEP-0103	6.33	0.40	1.760	0.014	3.570	0.049	5940	110	-4.79	0.11	-4.14	0.14	0.647	0.034	-5.795	0.077	
OGLE-LMC-CEP-0107	5.98	0.36	1.799	0.012	3.584	0.051	5730	120	-4.84	0.11	-4.12	0.15	0.720	0.039	-5.961	0.070	
OGLE-LMC-CEP-0123	5.82	0.36	1.736	0.012	3.461	0.046	5730	110	-4.52	0.11	-3.81	0.14	0.716	0.035	-5.639	0.069	
OGLE-LMC-CEP-0155	6.25	0.39	1.835	0.012	3.702	0.045	5870	110	-5.14	0.10	-4.48	0.13	0.665	0.034	-6.182	0.069	
OGLE-LMC-CEP-0158	5.48	0.38	1.735	0.013	3.476	0.048	5800	110	-4.55	0.11	-3.86	0.14	0.698	0.035	-5.643	0.073	
OGLE-LMC-CEP-0162	5.46	0.51	1.647	0.019	3.367	0.053	6010	110	-4.25	0.13	-3.62	0.15	0.629	0.034	-5.23	0.10	
OGLE-LMC-CEP-0169	5.52	0.44	1.673	0.016	3.328	0.052	5700	110	-4.20	0.12	-3.47	0.15	0.723	0.035	-5.320	0.089	
OGLE-LMC-CEP-0177	5.54	0.46	1.600	0.017	3.215	0.052	5840	110	-3.89	0.12	-3.21	0.15	0.687	0.034	-4.966	0.091	
OGLE-LMC-CEP-0189	5.36	0.44	1.677	0.015	3.383	0.048	5870	110	-4.31	0.11	-3.63	0.14	0.679	0.034	-5.362	0.080	
OGLE-LMC-CEP-0212	5.82	0.39	1.878	0.013	3.678	0.059	5510	140	-5.11	0.13	-4.30	0.18	0.796	0.043	-6.345	0.081	
OGLE-LMC-CEP-0250	5.81	0.39	1.705	0.014	3.381	0.049	5670	110	-4.34	0.11	-3.61	0.14	0.729	0.034	-5.471	0.079	
OGLE-LMC-CEP-0264	5.34	0.42	1.564	0.015	3.136	0.050	5830	110	-3.70	0.12	-3.01	0.15	0.691	0.034	-4.779	0.084	
OGLE-LMC-CEP-0269	5.22	0.40	1.565	0.014	3.165	0.048	5910	110	-3.75	0.11	-3.08	0.14	0.671	0.034	-4.801	0.079	
OGLE-LMC-CEP-0291	5.21	0.44	1.556	0.016	3.109	0.052	5790	110	-3.64	0.12	-2.94	0.15	0.705	0.034	-4.738	0.090	
OGLE-LMC-CEP-0306	6.14	0.37	1.737	0.012	3.485	0.046	5810	110	-4.58	0.10	-3.88	0.14	0.692	0.034	-5.653	0.068	
OGLE-LMC-CEP-0316	5.39	0.44	1.557	0.016	3.109	0.051	5780	110	-3.64	0.12	-2.94	0.15	0.705	0.034	-4.737	0.087	
OGLE-LMC-CEP-0329	5.23	0.41	1.567	0.014	3.134	0.049	5790	110	-3.70	0.11	-3.00	0.14	0.701	0.034	-4.793	0.081	
OGLE-LMC-CEP-0356	6.02	0.37	1.892	0.012	3.672	0.056	5420	130	-5.08	0.13	-4.25	0.17	0.838	0.041	-6.382	0.077	
OGLE-LMC-CEP-0377	6.60	0.41	1.732	0.014	3.521	0.049	5950	110	-4.64	0.11	-3.99	0.14	0.648	0.035	-5.650	0.080	
OGLE-LMC-CEP-0458	5.28	0.41	1.562	0.014	3.119	0.049	5780	110	-3.66	0.11	-2.96	0.14	0.706	0.034	-4.766	0.080	
OGLE-LMC-CEP-0482	5.72	0.37	1.749	0.012	3.501	0.048	5780	110	-4.63	0.11	-3.92	0.14	0.700	0.036	-5.712	0.070	
OGLE-LMC-CEP-0492	5.02	0.40	1.636	0.014	3.320	0.047	5930	110	-4.14	0.11	-3.48	0.14	0.660	0.034	-5.165	0.076	
OGLE-LMC-CEP-0505	5.29	0.42	1.583	0.015	3.160	0.050	5770	110	-3.77	0.12	-3.06	0.15	0.709	0.034	-4.871	0.084	
OGLE-LMC-CEP-0520	6.11	0.36	1.793	0.012	3.572	0.052	5720	120	-4.81	0.12	-4.09	0.15	0.719	0.038	-5.930	0.073	
OGLE-LMC-CEP-0542	5.48	0.44	1.647	0.016	3.299	0.049	5780	110	-4.11	0.12	-3.40	0.14	0.703	0.034	-5.200	0.086	
OGLE-LMC-CEP-0561	5.97	0.37	1.872	0.012	3.630	0.067	5410	170	-4.98	0.15	-4.16	0.20	0.827	0.051	-6.270	0.084	
OGLE-LMC-CEP-0576	5.67	0.42	1.645	0.015	3.292	0.049	5790	110	-4.09	0.12	-3.39	0.14	0.703	0.034	-5.184	0.083	
OGLE-LMC-CEP-0592	5.38	0.44	1.588	0.016	3.184	0.051	5820	110	-3.82	0.12	-3.13	0.15	0.693	0.034	-4.899	0.087	
OGLE-LMC-CEP-0599	5.67	0.43	1.664	0.015	3.334	0.048	5800	110	-4.20	0.11	-3.50	0.14	0.699	0.034	-5.287	0.080	
OGLE-LMC-CEP-0613	5.46	0.44	1.603	0.016	3.223	0.050	5840	110	-3.92	0.12	-3.23	0.15	0.688	0.034	-4.987	0.087	
OGLE-LMC-CEP-0625	5.22	0.42	1.557	0.015	3.118	0.050	5810	110	-3.66	0.12	-2.96	0.15	0.698	0.034	-4.747	0.084	
OGLE-LMC-CEP-0647	5.33	0.42	1.632	0.014	3.289	0.048	5850	110	-4.07	0.11	-3.39	0.14	0.684	0.034	-5.137	0.078	
OGLE-LMC-CEP-0655	5.93	0.37	1.892	0.012	3.670	0.055	5390	130	-5.09	0.12	-4.25	0.16	0.835	0.042	-6.391	0.075	
OGLE-LMC-CEP-0658	5.48	0.40	1.664	0.014	3.406	0.048	6020	110	-4.34	0.11	-3.71	0.14	0.630	0.034	-5.323	0.077	
OGLE-LMC-CEP-0669	5.89	0.37	1.770	0.011	3.507	0.047	5660	110	-4.65	0.11	-3.92	0.14	0.737	0.036	-5.806	0.067	
OGLE-LMC-CEP-0671	6.39	0.39	1.667	0.013	3.335	0.047	5800	110	-4.20	0.11	-3.51	0.14	0.693	0.034	-5.283	0.074	
OGLE-LMC-CEP-0683	6.20	0.38	1.932	0.012	3.720	0.059	5300	140	-5.23	0.14	-4.36	0.18	0.866	0.046	-6.573	0.077	
OGLE-LMC-CEP-0702	5.30	0.42	1.628	0.015	3.254	0.048	5770	110	-4.00	0.11	-3.29	0.14	0.707	0.034	-5.101	0.080	
OGLE-LMC-CEP-0708	5.76	0.39	1.836	0.012	3.650	0.060	5680	140	-5.02	0.14	-4.28	0.18	0.730	0.046	-6.154	0.079	
OGLE-LMC-CEP-0716	5.60	0.36	1.870	0.012	3.607	0.051	5340	120	-4.94	0.12	-4.09	0.15	0.847	0.039	-6.258	0.070	
OGLE-LMC-CEP-0741	6.18	0.37	1.857	0.012	3.730	0.053	5790	130	-5.21	0.12	-4.51	0.16	0.691	0.041	-6.292	0.074	
OGLE-LMC-CEP-0776	6.70	0.37	1.759	0.012	3.548	0.046	5870	110	-4.73	0.11	-4.06	0.14	0.671	0.035	-5.776	0.068	
OGLE-LMC-CEP-0800	5.56	0.38	1.875	0.012	3.620	0.062	5350	150	-4.97	0.14	-4.11	0.19	0.850	0.047	-6.287	0.082	
OGLE-LMC-CEP-0831	5.55	0.37	1.811	0.012	3.591	0.046	5660	120	-4.88	0.11	-4.14	0.14	0.734	0.037	-6.022	0.067	
OGLE-LMC-CEP-0837	5.43	0.38	1.675	0.012	3.255	0.048	5470	110	-4.04	0.11	-3.23	0.14	0.798	0.035	-5.272	0.073	
OGLE-LMC-CEP-0838	5.16	0.42	1.567	0.015	3.173	0.049	5920	110	-3.78	0.12	-3.12	0.14	0.664	0.034	-4.816	0.083	
OGLE-LMC-CEP-0843	5.79	0.35	1.776	0.011	3.551	0.047	5750	110	-4.76	0.11	-4.05	0.14	0.705	0.036	-5.856	0.066	
OGLE-LMC-CEP-0845	5.29	0.42	1.599	0.015	3.194	0.050	5770	110	-3.85	0.12	-3.14	0.15	0.709	0.034	-4.954	0.084	
OGLE-LMC-CEP-0846	6.08	0.35	1.815	0.011	3.597	0.048	5670	110	-4.87	0.11	-4.13	0.14	0.741	0.036	-6.029	0.068	
OGLE-LMC-CEP-0878	6.21	0.42	1.830	0.013	3.625	0.045	5660	110	-4.98	0.10	-4.23	0.13	0.733	0.035	-6.108	0.069	
OGLE-LMC-CEP-0884	5.79	0.37	1.761	0.012	3.534	0.048	5810	110	-4.70	0.11	-4.00	0.14	0.694	0.035	-5.782	0.070	
OGLE-LMC-CEP-0886	5.39	0.41	1.599	0.014	3.195	0.048	5770	110	-3.86	0.11	-3.15	0.14	0.705	0.034	-4.953	0.079	
OGLE-LMC-CEP-0888	6.42	0.39	1.828	0.012	3.610	0.045	5630	110	-4.94	0.10	-4.20	0.13	0.739	0.035	-6.087	0.066	
OGLE-LMC-CEP-0915	5.75	0.36	1.747	0.012	3.481	0.046	5730	110	-4.58	0.11	-3.87	0.14	0.716	0.034	-5.695	0.068	
OGLE-LMC-CEP-0919	5.53	0.43	1.632	0.015	3.275	0.049	5810	110	-4.05	0.11	-3.35	0.14	0.696	0.034	-5.128	0.082	
OGLE-LMC-CEP-0926	5.28	0.39	1.612	0.014	3.229	0.047	5790	110	-3.93	0.11	-3.23	0.14	0.704	0.034	-5.027	0.076	
OGLE-LMC-CEP-0927	5.85	0.35	1.800	0.011	3.593	0.046	5750	110	-4.86	0.10	-4.15	0.14	0.711	0.034	-5.972	0.067	
OGLE-LMC-CEP-0931	6.49	0.42	1.713	0.015	3.472	0.049	5930	110	-4.53	0.11	-3.87	0.14	0.653	0.034	-5.541	0.081	
OGLE-LMC-CEP-0936	5.99	0.35	1.787	0.011	3.541	0.046	5670	110	-4.74	0.10	-4.01	0.14	0.735	0.034	-5.891	0.066	
OGLE-LMC-CEP-0949	5.38	0.38	1.877	0.012	3.610	0.057	5300	130	-4.94	0.13	-4.06	0.17	0.870	0.043	-6.288	0.078	
OGLE-LMC-CEP-0963	5.96	0.35	1.797	0.012	3.569	0.048	5690	110	-4.80	0.11	-4.08	0.14	0.730	0.036	-5.945	0.068	
OGLE-LMC-CEP-0969	5.85	0.37	1.891	0.012	3.671	0.053	5400	130	-5.10	0.12	-4.26	0.16	0.825	0.041	-6.377	0.073	
OGLE-LMC-CEP-0973	5.23	0.36	1.821	0.012	3.491	0.053	5280	130	-4.65	0.12	-3.79	0.16	0.857	0.041	-5.983	0.070	
OGLE-LMC-CEP-0975	6.13	0.37	1.897	0.012	3.710	0.058	5480	140	-5.18	0.13	-4.38	0.17	0.797	0.044	-6.418	0.077	
OGLE-LMC-CEP-0990	5.35	0.43	1.563	0.015	3.130	0.049	5810	110	-3.69	0.12	-3.00	0.14	0.694	0.034	-4.773	0.084	
OGLE-LMC-CEP-1004	5.15	0.42	1.551	0.015	3.097	0.049	5780	110	-3.61	0.11	-2.91	0.14	0.706	0.034	-4.709	0.082	
OGLE-LMC-CEP-1011	5.25	0.41	1.587	0.015	3.191	0.049	5840	110	-3.83	0.11	-3.15	0.14	0.690	0.034	-4.907	0.081	
OGLE-LMC-CEP-1012	5.31	0.44	1.641	0.015	3.291	0.049	5790	110	-4.09	0.12	-3.39	0.14	0.699	0.034	-5.173	0.084	
OGLE-LMC-CEP-1019	5.24	0.44	1.612	0.016	3.227	0.050	5780	110	-3.93	0.12	-3.22	0.15	0.704	0.034	-5.025	0.086	
OGLE-LMC-CEP-1020	5.16	0.42	1.572	0.015	3.131	0.049	5750	110	-3.70	0.11	-2.99	0.14	0.715	0.034	-4.811	0.082	
OGLE-LMC-CEP-1045	5.35	0.42	1.619	0.015	3.236	0.048	5770	110	-3.95	0.11	-3.25	0.14	0.707	0.033	-5.054	0.082	
OGLE-LMC-CEP-1057	5.44	0.42	1.638	0.015	3.276	0.048	5770	110	-4.06	0.11	-3.35	0.14	0.706	0.034	-5.153	0.081	
OGLE-LMC-CEP-1073	5.85	0.39	1.657	0.013	3.304	0.048	5760	110	-4.13	0.11	-3.42	0.14	0.707	0.034	-5.231	0.076	
OGLE-LMC-CEP-1078	6.08	0.35	1.798	0.011	3.569	0.047	5680	120	-4.80	0.11	-4.08	0.14	0.730	0.036	-5.945	0.067	
OGLE-LMC-CEP-1094	5.95	0.37	1.737	0.012	3.475	0.045	5790	110	-4.55	0.10	-3.85	0.13	0.700	0.034	-5.645	0.066	
OGLE-LMC-CEP-1096	5.27	0.40	1.600	0.014	3.254	0.048	5960	110	-3.97	0.11	-3.32	0.14	0.650	0.034	-4.988	0.079	
OGLE-LMC-CEP-1109	6.06	0.37	1.876	0.012	3.639	0.060	5410	150	-5.01	0.14	-4.18	0.18	0.826	0.048	-6.292	0.077	
OGLE-LMC-CEP-1112	5.76	0.37	1.763	0.012	3.530	0.047	5800	110	-4.70	0.11	-4.00	0.14	0.696	0.035	-5.782	0.068	
OGLE-LMC-CEP-1115	6.26	0.39	1.830	0.012	3.617	0.044	5630	110	-4.96	0.10	-4.21	0.13	0.740	0.035	-6.103	0.066	
OGLE-LMC-CEP-1118	5.46	0.46	1.563	0.017	3.133	0.052	5820	110	-3.69	0.12	-3.01	0.15	0.690	0.034	-4.773	0.091	
OGLE-LMC-CEP-1120	5.46	0.37	1.863	0.012	3.566	0.057	5260	140	-4.84	0.13	-3.96	0.17	0.873	0.044	-6.198	0.075	
OGLE-LMC-CEP-1128	5.51	0.41	1.728	0.014	3.475	0.054	5840	120	-4.55	0.12	-3.86	0.16	0.685	0.039	-5.615	0.083	
OGLE-LMC-CEP-1129	5.45	0.39	1.678	0.014	3.334	0.049	5700	110	-4.22	0.11	-3.50	0.14	0.721	0.034	-5.340	0.079	
OGLE-LMC-CEP-1141	5.50	0.39	1.679	0.013	3.374	0.046	5820	110	-4.30	0.11	-3.60	0.14	0.688	0.034	-5.369	0.074	
OGLE-LMC-CEP-1166	5.78	0.39	1.905	0.012	3.674	0.057	5330	130	-5.10	0.13	-4.23	0.17	0.864	0.042	-6.442	0.078	
OGLE-LMC-CEP-1172	5.19	0.45	1.620	0.016	3.275	0.050	5890	110	-4.03	0.12	-3.36	0.15	0.673	0.034	-5.081	0.086	
OGLE-LMC-CEP-1180	6.23	0.37	1.939	0.012	3.731	0.053	5300	130	-5.25	0.12	-4.37	0.16	0.873	0.040	-6.605	0.073	
OGLE-LMC-CEP-1184	6.17	0.37	1.923	0.012	3.705	0.052	5310	120	-5.19	0.12	-4.32	0.15	0.862	0.039	-6.529	0.072	
OGLE-LMC-CEP-1190	5.33	0.41	1.594	0.015	3.204	0.049	5840	110	-3.86	0.11	-3.18	0.14	0.688	0.034	-4.938	0.082	
OGLE-LMC-CEP-1192	5.26	0.43	1.629	0.015	3.280	0.048	5840	110	-4.05	0.11	-3.36	0.14	0.687	0.034	-5.125	0.081	
OGLE-LMC-CEP-1200	5.78	0.37	1.727	0.012	3.457	0.046	5770	110	-4.51	0.11	-3.81	0.14	0.702	0.035	-5.603	0.070	
OGLE-LMC-CEP-1211	5.26	0.42	1.553	0.015	3.135	0.049	5880	110	-3.69	0.11	-3.02	0.14	0.673	0.034	-4.742	0.082	
OGLE-LMC-CEP-1214	5.84	0.35	1.794	0.011	3.554	0.046	5670	110	-4.77	0.10	-4.03	0.14	0.740	0.035	-5.925	0.066	
OGLE-LMC-CEP-1225	5.27	0.43	1.576	0.016	3.196	0.051	5940	110	-3.83	0.12	-3.17	0.15	0.660	0.034	-4.861	0.087	
OGLE-LMC-CEP-1233	6.04	0.35	1.786	0.011	3.583	0.047	5810	110	-4.83	0.11	-4.13	0.14	0.695	0.035	-5.914	0.067	
OGLE-LMC-CEP-1237	5.51	0.37	1.826	0.012	3.602	0.059	5600	140	-4.90	0.14	-4.13	0.18	0.761	0.046	-6.092	0.079	
OGLE-LMC-CEP-1245	5.40	0.42	1.640	0.014	3.290	0.047	5810	110	-4.08	0.11	-3.38	0.14	0.698	0.033	-5.168	0.077	
OGLE-LMC-CEP-1249	6.32	0.38	1.746	0.012	3.492	0.046	5780	110	-4.60	0.10	-3.90	0.14	0.700	0.034	-5.689	0.069	
OGLE-LMC-CEP-1252	5.59	0.38	1.821	0.012	3.679	0.053	5850	130	-5.08	0.12	-4.41	0.16	0.671	0.040	-6.129	0.075	
OGLE-LMC-CEP-1256	5.20	0.40	1.621	0.014	3.218	0.047	5700	110	-3.92	0.11	-3.19	0.14	0.728	0.034	-5.048	0.077	
OGLE-LMC-CEP-1261	5.95	0.35	1.756	0.011	3.472	0.046	5640	110	-4.56	0.10	-3.82	0.14	0.744	0.035	-5.729	0.066	
OGLE-LMC-CEP-1266	5.26	0.40	1.593	0.014	3.186	0.048	5790	110	-3.83	0.11	-3.13	0.14	0.702	0.034	-4.922	0.078	
OGLE-LMC-CEP-1301	5.45	0.43	1.637	0.015	3.334	0.049	5970	110	-4.17	0.12	-3.52	0.14	0.646	0.034	-5.176	0.083	
OGLE-LMC-CEP-1304	4.91	0.41	1.539	0.014	3.059	0.048	5730	110	-3.52	0.11	-2.80	0.14	0.720	0.034	-4.641	0.078	
OGLE-LMC-CEP-1313	5.45	0.37	1.718	0.013	3.415	0.047	5700	110	-4.42	0.11	-3.69	0.14	0.724	0.034	-5.542	0.073	
OGLE-LMC-CEP-1321	5.13	0.39	1.563	0.014	3.194	0.047	6010	110	-3.81	0.11	-3.17	0.14	0.639	0.034	-4.809	0.076	
OGLE-LMC-CEP-1335	5.32	0.42	1.583	0.015	3.160	0.049	5760	110	-3.77	0.12	-3.06	0.14	0.712	0.034	-4.873	0.083	
OGLE-LMC-CEP-1344	5.96	0.36	1.748	0.012	3.513	0.046	5830	110	-4.64	0.11	-3.96	0.14	0.685	0.034	-5.716	0.068	
OGLE-LMC-CEP-1353	5.99	0.36	1.770	0.011	3.523	0.045	5710	110	-4.69	0.10	-3.97	0.13	0.722	0.034	-5.816	0.066	
OGLE-LMC-CEP-1370	5.44	0.40	1.576	0.014	3.162	0.048	5830	110	-3.76	0.11	-3.08	0.14	0.688	0.034	-4.839	0.077	
OGLE-LMC-CEP-1389	5.84	0.35	1.749	0.012	3.481	0.046	5720	110	-4.58	0.10	-3.87	0.14	0.719	0.034	-5.701	0.068	
OGLE-LMC-CEP-1396	5.45	0.43	1.602	0.015	3.266	0.049	5980	110	-4.00	0.11	-3.37	0.14	0.639	0.034	-5.002	0.083	
OGLE-LMC-CEP-1398	5.45	0.42	1.611	0.015	3.228	0.049	5800	110	-3.93	0.12	-3.24	0.15	0.698	0.034	-5.019	0.084	
OGLE-LMC-CEP-1404	5.08	0.40	1.694	0.014	3.366	0.049	5700	110	-4.30	0.11	-3.58	0.14	0.720	0.034	-5.421	0.076	
OGLE-LMC-CEP-1407	5.38	0.42	1.589	0.015	3.200	0.049	5850	110	-3.86	0.12	-3.18	0.14	0.680	0.034	-4.917	0.083	
OGLE-LMC-CEP-1416	5.46	0.42	1.629	0.015	3.281	0.048	5850	110	-4.06	0.11	-3.38	0.14	0.683	0.034	-5.122	0.082	
OGLE-LMC-CEP-1444	5.51	0.38	1.714	0.013	3.406	0.048	5700	110	-4.40	0.11	-3.68	0.14	0.719	0.034	-5.522	0.073	
OGLE-LMC-CEP-1463	5.79	0.37	1.756	0.013	3.520	0.046	5800	110	-4.67	0.11	-3.98	0.14	0.694	0.034	-5.758	0.071	
OGLE-LMC-CEP-1490	5.97	0.36	1.783	0.012	3.570	0.047	5780	110	-4.79	0.11	-4.09	0.14	0.703	0.035	-5.894	0.068	
OGLE-LMC-CEP-1494	5.77	0.39	1.668	0.014	3.360	0.047	5860	110	-4.25	0.11	-3.58	0.14	0.677	0.034	-5.308	0.076	
OGLE-LMC-CEP-1513	6.08	0.35	1.789	0.011	3.554	0.045	5700	110	-4.77	0.10	-4.05	0.13	0.726	0.034	-5.905	0.065	
OGLE-LMC-CEP-1526	5.54	0.39	1.722	0.013	3.460	0.046	5820	110	-4.51	0.11	-3.82	0.14	0.688	0.034	-5.584	0.073	
OGLE-LMC-CEP-1539	6.22	0.37	1.910	0.012	3.687	0.055	5340	130	-5.15	0.13	-4.29	0.16	0.848	0.042	-6.460	0.075	
OGLE-LMC-CEP-1553	6.03	0.39	1.719	0.013	3.432	0.046	5760	110	-4.45	0.10	-3.75	0.13	0.706	0.034	-5.552	0.071	
OGLE-LMC-CEP-1559	5.30	0.43	1.552	0.015	3.108	0.050	5810	110	-3.63	0.12	-2.95	0.15	0.694	0.034	-4.720	0.084	
OGLE-LMC-CEP-1560	5.41	0.43	1.593	0.015	3.202	0.050	5840	110	-3.86	0.12	-3.18	0.15	0.686	0.034	-4.933	0.084	
OGLE-LMC-CEP-1580	5.50	0.42	1.665	0.015	3.333	0.048	5780	110	-4.20	0.11	-3.50	0.14	0.701	0.034	-5.291	0.080	
OGLE-LMC-CEP-1590	5.34	0.41	1.638	0.014	3.291	0.048	5830	110	-4.09	0.11	-3.40	0.14	0.689	0.034	-5.159	0.079	
OGLE-LMC-CEP-1608	5.37	0.36	1.845	0.012	3.645	0.051	5600	120	-5.01	0.12	-4.24	0.15	0.760	0.039	-6.193	0.071	
OGLE-LMC-CEP-1614	5.43	0.42	1.623	0.015	3.221	0.049	5700	110	-3.93	0.12	-3.20	0.14	0.726	0.034	-5.054	0.082	
OGLE-LMC-CEP-1636	5.67	0.36	1.714	0.012	3.434	0.045	5780	110	-4.45	0.10	-3.75	0.13	0.701	0.034	-5.540	0.067	
OGLE-LMC-CEP-1647	5.22	0.37	1.779	0.012	3.569	0.045	5810	110	-4.81	0.10	-4.13	0.13	0.686	0.034	-5.881	0.067	
OGLE-LMC-CEP-1658	5.21	0.40	1.546	0.014	3.104	0.048	5830	110	-3.62	0.11	-2.94	0.14	0.688	0.034	-4.698	0.078	
OGLE-LMC-CEP-1667	5.41	0.42	1.703	0.014	3.433	0.047	5870	110	-4.44	0.11	-3.76	0.14	0.675	0.034	-5.494	0.077	
OGLE-LMC-CEP-1719	6.08	0.40	1.848	0.013	3.642	0.071	5590	170	-5.01	0.17	-4.25	0.22	0.758	0.056	-6.197	0.091	
OGLE-LMC-CEP-1737	5.17	0.42	1.561	0.015	3.109	0.050	5760	110	-3.64	0.12	-2.93	0.14	0.713	0.034	-4.752	0.082	
OGLE-LMC-CEP-1748	5.86	0.38	1.723	0.012	3.454	0.045	5810	110	-4.50	0.10	-3.80	0.13	0.693	0.034	-5.578	0.069	
OGLE-LMC-CEP-1757	5.39	0.39	1.571	0.014	3.146	0.048	5810	110	-3.72	0.11	-3.02	0.14	0.702	0.034	-4.815	0.077	
OGLE-LMC-CEP-1778	5.37	0.41	1.624	0.014	3.254	0.048	5790	110	-4.00	0.11	-3.30	0.14	0.700	0.034	-5.086	0.078	
OGLE-LMC-CEP-1785	5.56	0.40	1.665	0.014	3.330	0.047	5760	110	-4.19	0.11	-3.49	0.14	0.704	0.034	-5.291	0.076	
OGLE-LMC-CEP-1791	5.34	0.41	1.554	0.014	3.116	0.048	5820	110	-3.65	0.11	-2.97	0.14	0.690	0.034	-4.731	0.079	
OGLE-LMC-CEP-1794	5.20	0.41	1.598	0.015	3.267	0.049	6010	110	-3.99	0.11	-3.36	0.14	0.636	0.034	-4.991	0.081	
